composite id	composite name	primitive id	primitive name
BP48	superior parietal lobule precuneus	BP50	right superior parietal lobule precuneus
BP48	superior parietal lobule precuneus	BP49	left superior parietal lobule precuneus
FMA10446	intervertebral disk	FMA13900	intervertebral disk of seventh cervical vertebra
FMA10446	intervertebral disk	FMA13509	intervertebral disk of twelfth thoracic vertebra
FMA10446	intervertebral disk	FMA13899	intervertebral disk of sixth cervical vertebra
FMA10446	intervertebral disk	FMA13508	intervertebral disk of eleventh thoracic vertebra
FMA10446	intervertebral disk	FMA13507	intervertebral disk of tenth thoracic vertebra
FMA10446	intervertebral disk	FMA13897	intervertebral disk of fourth cervical vertebra
FMA10446	intervertebral disk	FMA13495	intervertebral disk of second thoracic vertebra
FMA10446	intervertebral disk	FMA13898	intervertebral disk of fifth cervical vertebra
FMA10446	intervertebral disk	FMA13896	intervertebral disk of third cervical vertebra
FMA10446	intervertebral disk	FMA16033	intervertebral disk of first lumbar vertebra
FMA10446	intervertebral disk	FMA16035	intervertebral disk of third lumbar vertebra
FMA10446	intervertebral disk	FMA16034	intervertebral disk of second lumbar vertebra
FMA10446	intervertebral disk	FMA10458	intervertebral disk of first thoracic vertebra
FMA10446	intervertebral disk	FMA16037	intervertebral disk of fifth lumbar vertebra
FMA10446	intervertebral disk	FMA16036	intervertebral disk of fourth lumbar vertebra
FMA10446	intervertebral disk	FMA13504	intervertebral disk of seventh thoracic vertebra
FMA10446	intervertebral disk	FMA13503	intervertebral disk of sixth thoracic vertebra
FMA10446	intervertebral disk	FMA13506	intervertebral disk of ninth thoracic vertebra
FMA10446	intervertebral disk	FMA13505	intervertebral disk of eighth thoracic vertebra
FMA10446	intervertebral disk	FMA25058	intervertebral disk of axis
FMA10446	intervertebral disk	FMA13500	intervertebral disk of third thoracic vertebra
FMA10446	intervertebral disk	FMA13502	intervertebral disk of fifth thoracic vertebra
FMA10446	intervertebral disk	FMA13501	intervertebral disk of fourth thoracic vertebra
FMA10465	inferior tibiofibular joint	FMA35187	interosseous membrane of leg
FMA10465	inferior tibiofibular joint	FMA35193	interosseous membrane of left leg
FMA10465	inferior tibiofibular joint	FMA35192	interosseous membrane of right leg
FMA12255	anterior compartment of forearm	FMA38639	humeroulnar head of left flexor digitorum superficialis
FMA12255	anterior compartment of forearm	FMA38638	humeroulnar head of right flexor digitorum superficialis
FMA12255	anterior compartment of forearm	FMA38459	flexor carpi radialis
FMA12255	anterior compartment of forearm	FMA38615	humeral head of flexor carpi ulnaris
FMA12255	anterior compartment of forearm	FMA38617	humeral head of right flexor carpi ulnaris
FMA12255	anterior compartment of forearm	FMA38558	humeral head of pronator teres
FMA12255	anterior compartment of forearm	FMA38616	ulnar head of flexor carpi ulnaris
FMA12255	anterior compartment of forearm	FMA38559	ulnar head of pronator teres
FMA12255	anterior compartment of forearm	FMA38637	radial head of flexor digitorum superficialis
FMA12255	anterior compartment of forearm	FMA38619	ulnar head of right flexor carpi ulnaris
FMA12255	anterior compartment of forearm	FMA38636	humero-ulnar head of flexor digitorum superficialis
FMA12255	anterior compartment of forearm	FMA38618	humeral head of left flexor carpi ulnaris
FMA12255	anterior compartment of forearm	FMA38453	pronator quadratus
FMA12255	anterior compartment of forearm	FMA38479	right flexor digitorum profundus
FMA12255	anterior compartment of forearm	FMA38478	flexor digitorum profundus
FMA12255	anterior compartment of forearm	FMA38450	pronator teres
FMA12255	anterior compartment of forearm	FMA38455	left pronator quadratus
FMA12255	anterior compartment of forearm	FMA38454	right pronator quadratus
FMA12255	anterior compartment of forearm	FMA38484	left flexor pollicis longus
FMA12255	anterior compartment of forearm	FMA38640	radial head of right flexor digitorum superficialis
FMA12255	anterior compartment of forearm	FMA38469	flexor digitorum superficialis
FMA12255	anterior compartment of forearm	FMA38641	radial head of left flexor digitorum superficialis
FMA12255	anterior compartment of forearm	FMA38465	flexor carpi ulnaris
FMA12255	anterior compartment of forearm	FMA38620	ulnar head of left flexor carpi ulnaris
FMA12255	anterior compartment of forearm	FMA38462	palmaris longus
FMA12255	anterior compartment of forearm	FMA38461	left flexor carpi radialis
FMA12255	anterior compartment of forearm	FMA38464	left palmaris longus
FMA12255	anterior compartment of forearm	FMA38463	right palmaris longus
FMA12255	anterior compartment of forearm	FMA38561	humeral head of left pronator teres
FMA12255	anterior compartment of forearm	FMA38560	humeral head of right pronator teres
FMA12255	anterior compartment of forearm	FMA38563	ulnar head of left pronator teres
FMA12255	anterior compartment of forearm	FMA38562	ulnar head of right pronator teres
FMA12255	anterior compartment of forearm	FMA38460	right flexor carpi radialis
FMA12255	anterior compartment of forearm	FMA38480	left flexor digitorum profundus
FMA12255	anterior compartment of forearm	FMA38482	right flexor pollicis longus
FMA12255	anterior compartment of forearm	FMA38481	flexor pollicis longus
FMA12823	incisor tooth	FMA55681	right upper central secondary incisor tooth
FMA12823	incisor tooth	FMA55680	right upper lateral secondary incisor tooth
FMA12823	incisor tooth	FMA55683	left upper lateral secondary incisor tooth
FMA12823	incisor tooth	FMA55682	left upper central secondary incisor tooth
FMA12823	incisor tooth	FMA57142	right lower central secondary incisor tooth
FMA12823	incisor tooth	FMA57141	left lower lateral secondary incisor tooth
FMA12823	incisor tooth	FMA57140	right lower lateral secondary incisor tooth
FMA12823	incisor tooth	FMA57143	left lower central secondary incisor tooth
FMA12846	cardiac vein	FMA4713	middle cardiac vein
FMA12846	cardiac vein	FMA76751	set of posterior veins of left ventricle
FMA12846	cardiac vein	FMA4707	great cardiac vein
FMA12846	cardiac vein	FMA4706	coronary sinus
FMA12846	cardiac vein	FMA71567	set of anterior cardiac veins
FMA13109	pectoralis minor	FMA13375	right pectoralis minor
FMA13109	pectoralis minor	FMA13376	left pectoralis minor
FMA13303	humerus	FMA23130	right humerus
FMA13303	humerus	FMA23131	left humerus
FMA13321	clavicle	FMA13322	right clavicle
FMA13321	clavicle	FMA13323	left clavicle
FMA13335	external oblique	FMA19855	inguinal ligament
FMA13335	external oblique	FMA13336	right external oblique
FMA13335	external oblique	FMA21964	right inguinal ligament
FMA13335	external oblique	FMA13337	left external oblique
FMA13335	external oblique	FMA21965	left inguinal ligament
FMA13341	sternohyoid	FMA13347	left sternohyoid
FMA13341	sternohyoid	FMA13346	right sternohyoid
FMA13342	omohyoid	FMA13348	right omohyoid
FMA13342	omohyoid	FMA13349	left omohyoid
FMA13343	sternothyroid	FMA13351	left sternothyroid
FMA13343	sternothyroid	FMA13350	right sternothyroid
FMA13344	thyrohyoid	FMA13353	left thyrohyoid
FMA13344	thyrohyoid	FMA13352	right thyrohyoid
FMA13357	latissimus dorsi	FMA13359	left latissimus dorsi
FMA13357	latissimus dorsi	FMA13358	right latissimus dorsi
FMA13370	longus colli	FMA46284	superior oblique part of left longus colli
FMA13370	longus colli	FMA46285	vertical intermediate part of right longus colli
FMA13370	longus colli	FMA46283	superior oblique part of right longus colli
FMA13370	longus colli	FMA46288	inferior oblique part of left longus colli
FMA13370	longus colli	FMA46286	vertical intermediate part of left longus colli
FMA13370	longus colli	FMA46287	inferior oblique part of right longus colli
FMA13379	rhomboid major	FMA13382	left rhomboid major
FMA13379	rhomboid major	FMA13381	right rhomboid major
FMA13380	rhomboid minor	FMA13384	left rhomboid minor
FMA13380	rhomboid minor	FMA13383	right rhomboid minor
FMA13385	scalenus anterior	FMA13392	right scalenus anterior
FMA13385	scalenus anterior	FMA13393	left scalenus anterior
FMA13386	scalenus medius	FMA13391	left scalenus medius
FMA13386	scalenus medius	FMA13390	right scalenus medius
FMA13387	scalenus posterior	FMA13389	left scalenus posterior
FMA13387	scalenus posterior	FMA13388	right scalenus posterior
FMA13394	scapula	FMA13396	left scapula
FMA13394	scapula	FMA13395	right scapula
FMA13397	serratus anterior	FMA13398	right serratus anterior
FMA13397	serratus anterior	FMA13399	left serratus anterior
FMA13401	serratus posterior superior	FMA13403	right serratus posterior superior
FMA13401	serratus posterior superior	FMA13404	left serratus posterior superior
FMA13402	serratus posterior inferior	FMA13405	right serratus posterior inferior
FMA13402	serratus posterior inferior	FMA13406	left serratus posterior inferior
FMA13407	sternocleidomastoid	FMA13408	right sternocleidomastoid
FMA13407	sternocleidomastoid	FMA13409	left sternocleidomastoid
FMA13410	subclavius	FMA13412	right subclavius
FMA13410	subclavius	FMA13411	left subclavius
