"id"	name	part id	part name
FMA20394	human body	FMA7157	nervous system
FMA20394	human body	FMA7158	respiratory system
FMA20394	human body	FMA23881	skeletal system
FMA20394	human body	FMA7153	cardinal body part
FMA20394	human body	FMA72954	muscular system
FMA20394	human body	FMA7152	alimentary system
FMA20394	human body	FMA71917	set of immaterial anatomical entities
FMA20394	human body	FMA7159	urinary system
FMA20394	human body	FMA78499	sense organ system
FMA20394	human body	FMA72979	integumentary system
FMA20394	human body	FMA74594	lymphoid system
FMA20394	human body	FMA9668	endocrine system
FMA20394	human body	FMA7161	cardiovascular system
FMA20394	human body	FMA7160	genital system
FMA7153	cardinal body part	FMA9622	muscle of lower limb
FMA7153	cardinal body part	FMA7155	neck
FMA7153	cardinal body part	FMA9621	muscle of upper limb
FMA7153	cardinal body part	FMA7181	trunk
FMA7153	cardinal body part	FMA7154	head
FMA7153	cardinal body part	FMA7183	upper limb
FMA7153	cardinal body part	FMA14181	back
FMA7153	cardinal body part	FMA7184	lower limb
FMA7154	head	FMA50801	brain
FMA7154	head	FMA71287	musculature of head
FMA7154	head	FMA49187	occipital part of head
FMA7154	head	FMA24728	face
FMA7154	head	FMA52780	ear
FMA7154	head	FMA46565	skull
FMA49187	occipital part of head	FMA52735	occipital bone
FMA24728	face	FMA46822	levator anguli oris
FMA24728	face	FMA53673	viscerocranium
FMA24728	face	FMA46834	buccinator
FMA24728	face	FMA46805	levator labii superioris
FMA24728	face	FMA46777	depressor septi nasi
FMA24728	face	FMA54393	subdivision of face
FMA24728	face	FMA46838	risorius
FMA24728	face	FMA46810	zygomaticus major
FMA24728	face	FMA46828	depressor anguli oris
FMA24728	face	FMA46811	zygomaticus minor
FMA24728	face	FMA46802	levator labii superioris alaeque nasi
FMA54448	eye	FMA46779	orbicularis oculi
FMA54448	eye	FMA54439	upper eyelid
FMA54448	eye	FMA53074	orbit
FMA54448	eye	FMA54442	lower eyelid
FMA46476	cheek	FMA46488	buccal part of mouth
FMA46476	cheek	FMA48996	masseter
FMA46476	cheek	FMA52747	zygomatic bone
FMA46472	nose	FMA46489	subdivision of external nose
FMA46472	nose	FMA46770	nasalis
