"id"	en
FMA20394	human body
FMA7153	cardinal body part
FMA7154	head
FMA49187	occipital part of head
FMA52780	ear
FMA24728	face
FMA54448	eye
FMA46476	cheek
FMA46472	nose
FMA49184	mouth
FMA46495	chin
FMA7155	neck
FMA7181	trunk
FMA9576	thorax
FMA24816	anterior chest
FMA9577	abdomen
FMA9578	pelvis
FMA14181	back
FMA7183	upper limb
FMA23217	pectoral girdle
FMA24864	axilla
FMA24890	arm
FMA24901	elbow
FMA9663	forearm
FMA9712	hand
FMA24922	wrist
FMA24920	palm
FMA75592	set of fingers
FMA7184	lower limb
FMA16581	pelvic girdle
FMA24964	hip
FMA24967	thigh
FMA24974	knee
FMA24979	leg
FMA9664	foot
FMA25045	dorsal part of foot
FMA70664	set of toes
FMA71917	set of immaterial anatomical entities
FMA61824	frontal lobe
FMA61826	parietal lobe
FMA67325	occipital lobe
FMA54393	subdivision of face
FMA46488	buccal part of mouth
FMA46489	subdivision of external nose
FMA24189	back of neck
FMA61471	pectoral part of chest
FMA24228	posterior part of pelvis
FMA25200	scapular part of pectoral girdle
FMA61681	back of abdomen
FMA9579	perineum
FMA20347	anal part of perineum
FMA20348	urogenital part of perineum
FMA73004	deltoid part of pectoral girdle
FMA24891	anterior part of arm
FMA24892	posterior part of arm
FMA24904	anterior part of elbow
FMA24907	posterior part of elbow
FMA24911	posterior part of forearm
FMA24945	segment of hand
FMA61520	thenar eminence
FMA61523	hypothenar eminence
FMA24938	thumb
FMA24946	index finger
FMA24947	middle finger
FMA24948	ring finger
FMA24949	little finger
FMA74846	segment of knee
FMA24975	anterior part of knee
FMA24993	segment of foot
FMA25047	big toe
FMA25048	second toe
FMA25051	third toe
FMA25052	fourth toe
FMA25053	little toe
FMA23881	skeletal system
FMA71221	axial skeleton
FMA71222	appendicular skeleton
FMA7474	long bone
FMA7475	short bone
FMA7476	flat bone
FMA7477	irregular bone
FMA7478	pneumatized bone
FMA32672	sesamoid bone
FMA46565	skull
FMA53672	neurocranium
FMA53673	viscerocranium
FMA52735	occipital bone
FMA52801	basicranium
FMA53074	orbit
FMA54379	orbital compartment
FMA75740	bony nasal cavity
FMA60118	skeleton of nasal septum
FMA9613	parietal bone
FMA52734	frontal bone
FMA52736	sphenoid bone
FMA52737	temporal bone
FMA52740	ethmoid
FMA54736	inferior nasal concha
FMA52741	lacrimal bone
FMA52745	nasal bone
FMA9710	vomer
FMA9711	maxilla
FMA52746	palatine bone
FMA52747	zygomatic bone
FMA52748	mandible
FMA52749	hyoid bone
FMA13478	vertebral column
FMA9914	vertebra
FMA72063	set of cervical vertebrae
FMA12519	atlas
FMA12520	axis
FMA12525	seventh cervical vertebra
FMA72064	set of thoracic vertebrae
FMA72065	set of lumbar vertebrae
FMA16202	sacrum
FMA71331	set of ribs
FMA7591	costal cartilage
FMA7574	rib
FMA7597	first rib
FMA7620	second rib
FMA7485	sternum
FMA7486	manubrium
FMA7487	body of sternum
FMA7488	xiphoid process
FMA7480	rib cage
FMA24139	skeleton of upper limb
FMA25570	bony pectoral girdle
FMA13394	scapula
FMA13321	clavicle
FMA61406	skeletal system of free upper limb
FMA13303	humerus
FMA23463	radius
FMA23466	ulna
FMA71335	set of carpal bones
FMA23709	scaphoid
FMA23712	lunate
FMA23715	triquetral
FMA23718	pisiform
FMA23721	trapezium
FMA23724	trapezoid
FMA23727	capitate
FMA23730	hamate
FMA71336	set of metacarpal bones
FMA231315	set of phalanges
FMA24140	skeleton of lower limb
FMA16585	hip bone
FMA16580	bony pelvis
FMA61409	skeletal system of free lower limb
FMA9611	femur
FMA24485	patella
FMA24476	tibia
FMA24479	fibula
FMA24222	skeleton of foot
FMA71339	set of tarsal bones
FMA9708	talus
FMA24496	calcaneus
FMA24499	navicular bone of foot
FMA24518	medial cuneiform bone
FMA24519	intermediate cuneiform bone
FMA24520	lateral cuneiform bone
FMA24527	cuboid bone
FMA71340	set of metatarsal bones
FMA23878	articular system
FMA7490	joint
FMA71352	set of bony joints
FMA7491	nonsynovial joint
FMA7492	fibrous joint
FMA7494	syndesmosis
FMA54839	interosseous membrane
FMA7496	cartilaginous joint
FMA7498	symphysis
FMA7501	synovial joint
FMA70773	set of ligaments
FMA59762	gingiva
FMA76695	intervertebral joint
FMA10446	intervertebral disk
FMA39432	radio-ulnar syndesmosis
FMA23706	interosseous membrane of forearm
FMA71348	set of joints of free lower limb
FMA10465	inferior tibiofibular joint
FMA35187	interosseous membrane of leg
FMA35181	tibiofibular joint
FMA71411	set of tarsal ligaments
FMA71415	set of plantar tarsal ligaments
FMA44248	long plantar ligament
FMA72954	muscular system
FMA46569	fascicular architecture of muscle
FMA85453	head of muscle organ
FMA9719	muscle belly
FMA23081	rotator muscle
FMA9721	tendon
FMA65410	intermediate tendon
FMA9722	aponeurosis
FMA71287	musculature of head
FMA46750	epicranius
FMA9624	occipitofrontalis
FMA46757	frontalis
FMA46758	occipitalis
FMA46753	temporoparietalis
FMA46768	aponeurosis of epicranius
FMA46769	procerus
FMA46770	nasalis
FMA46777	depressor septi nasi
FMA46779	orbicularis oculi
FMA46784	palpebral part of orbicularis oculi
FMA46781	orbital part of orbicularis oculi
FMA46794	corrugator supercilii
FMA46841	orbicularis oris
FMA46828	depressor anguli oris
FMA46838	risorius
FMA46810	zygomaticus major
FMA46811	zygomaticus minor
FMA46805	levator labii superioris
FMA46802	levator labii superioris alaeque nasi
FMA46816	depressor labii inferioris
FMA46822	levator anguli oris
FMA46834	buccinator
FMA46825	mentalis
FMA48996	masseter
FMA49000	superficial part of masseter
FMA49003	deep part of masseter
FMA49006	temporalis
FMA49015	lateral pterygoid
FMA49020	upper head of lateral pterygoid
FMA49021	lower head of lateral pterygoid
FMA49011	medial pterygoid
FMA71290	musculature of neck
FMA45738	platysma
FMA13370	longus colli
FMA46308	longus capitis
FMA13385	scalenus anterior
FMA13386	scalenus medius
FMA13387	scalenus posterior
FMA13407	sternocleidomastoid
FMA46312	rectus capitis anterior
FMA46316	rectus capitis lateralis
FMA32525	rectus capitis posterior major
FMA32526	rectus capitis posterior minor
FMA32527	obliquus capitis superior
FMA32528	obliquus capitis inferior
FMA46291	digastric
FMA46302	anterior belly of digastric
FMA46303	posterior belly of digastric
FMA9625	stylohyoid
FMA46320	mylohyoid
FMA46325	geniohyoid
FMA13341	sternohyoid
FMA13342	omohyoid
FMA13343	sternothyroid
FMA13344	thyrohyoid
FMA71291	musculature of back
FMA9626	trapezius
FMA32556	transverse part of trapezius
FMA32555	ascending part of trapezius
FMA32557	descending part of trapezius
FMA13357	latissimus dorsi
FMA13379	rhomboid major
FMA13380	rhomboid minor
FMA32519	levator scapulae
FMA13402	serratus posterior inferior
FMA13401	serratus posterior superior
FMA71442	set of anterior cervical intertransversarii
FMA71443	set of posterior cervical intertransversarii
FMA71444	set of lateral lumbar intertransversarius muscles
FMA77177	iliocostalis
FMA22702	iliocostalis lumborum
FMA22704	iliocostalis cervicis
FMA77178	longissimus
FMA22709	longissimus thoracis
FMA22711	longissimus cervicis
FMA22714	longissimus capitis
FMA77179	spinalis
FMA22765	spinalis thoracis
FMA77180	splenius
FMA22653	splenius capitis
FMA22681	splenius cervicis
FMA22827	multifidus
FMA22823	semispinalis
FMA22828	semispinalis thoracis
FMA22829	semispinalis cervicis
FMA22830	semispinalis capitis
FMA71305	rotatores muscle group
FMA23084	lumbar rotator
FMA23083	thoracic rotator
FMA23082	cervical rotator
FMA71306	set of interspinales
FMA71307	set of interspinales lumborum
FMA71308	set of interspinales thoracis
FMA71309	set of interspinales cervicis
FMA76775	set of medial lumbar intertransversarius muscles
FMA71293	musculature of thorax
FMA9627	pectoralis major
FMA34687	clavicular part of pectoralis major
FMA34696	sternocostal part of pectoralis major
FMA34699	abdominal part of pectoralis major
FMA13109	pectoralis minor
FMA13410	subclavius
FMA13397	serratus anterior
FMA71312	set of levatores costarum
FMA71313	set of levatores costarum longi
FMA71314	set of levatores costarum breves
FMA9756	external intercostal muscle
FMA9757	internal intercostal muscle
FMA9758	innermost intercostal muscle
FMA9760	transversus thoracis
FMA13295	diaphragm
FMA86917	musculature of abdomen
FMA9628	rectus abdominis
FMA15568	pyramidalis
FMA13335	external oblique
FMA19855	inguinal ligament
FMA13891	internal oblique
FMA15570	transversus abdominis
FMA11336	linea alba
FMA15569	quadratus lumborum
FMA19726	pelvic diaphragm
FMA19087	levator ani
FMA19090	pubococcygeus
FMA19091	puborectalis
FMA19092	iliococcygeus
FMA46442	tendinous arch of levator ani
FMA19088	coccygeus
FMA21930	external anal sphincter
FMA71295	musculature of perineum
FMA9621	muscle of upper limb
FMA37673	anterior compartment of arm
FMA37676	posterior compartment of arm
FMA12255	anterior compartment of forearm
FMA38411	posterior compartment of forearm
FMA32521	deltoid
FMA34677	clavicular part of deltoid
FMA34678	acromial part of deltoid
FMA34679	spinal part of deltoid
FMA9629	supraspinatus
FMA32546	infraspinatus muscle
FMA32550	teres minor
FMA32549	teres major
FMA13413	subscapularis
FMA37670	biceps brachii
FMA37683	long head of biceps brachii
FMA37682	short head of biceps brachii
FMA37664	coracobrachialis
FMA37667	brachialis
FMA37688	triceps brachii
FMA37692	long head of triceps brachii
FMA37694	lateral head of triceps brachii
FMA37693	medial head of triceps brachii
FMA37704	anconeus
FMA38450	pronator teres
FMA38558	humeral head of pronator teres
FMA38559	ulnar head of pronator teres
FMA38459	flexor carpi radialis
FMA38462	palmaris longus
FMA38465	flexor carpi ulnaris
FMA38615	humeral head of flexor carpi ulnaris
FMA38616	ulnar head of flexor carpi ulnaris
FMA38469	flexor digitorum superficialis
FMA38636	humero-ulnar head of flexor digitorum superficialis
FMA38637	radial head of flexor digitorum superficialis
FMA38478	flexor digitorum profundus
FMA38481	flexor pollicis longus
FMA38453	pronator quadratus
FMA38485	brachioradialis
FMA38494	extensor carpi radialis longus
FMA38497	extensor carpi radialis brevis
FMA38500	extensor digitorum
FMA38503	extensor digiti minimi
FMA38506	extensor carpi ulnaris
FMA77260	humeral head of extensor carpi ulnaris
FMA77261	ulnar head of extensor carpi ulnaris
FMA38512	supinator
FMA38515	abductor pollicis longus
FMA38518	extensor pollicis brevis
FMA38521	extensor pollicis longus
FMA38524	extensor indicis
FMA37373	abductor pollicis brevis
FMA37378	flexor pollicis brevis
FMA46104	superficial head of flexor pollicis brevis
FMA46107	deep head of flexor pollicis brevis
FMA37379	opponens pollicis
FMA37380	adductor pollicis
FMA46119	oblique head of adductor pollicis
FMA46120	transverse head of adductor pollicis
FMA37382	abductor digiti minimi of hand
FMA37383	flexor digiti minimi brevis of hand
FMA37384	opponens digiti minimi of hand
FMA71318	set of lumbricals of hand
FMA71319	set of dorsal interossei of hand
FMA71320	set of palmar interossei of hand
FMA39988	flexor retinaculum of wrist
FMA45151	anterior compartment of thigh
FMA45157	posterior compartment of thigh
FMA45160	medial compartment of thigh
FMA45163	anterior compartment of leg
FMA9622	muscle of lower limb
FMA64918	iliopsoas
FMA22310	iliacus
FMA18060	psoas major
FMA22314	gluteus maximus
FMA22315	gluteus medius
FMA22317	gluteus minimus
FMA22423	tensor fasciae latae
FMA19082	piriformis
FMA22298	obturator internus
FMA22318	gemellus superior
FMA22320	gemellus inferior
FMA22321	quadratus femoris
FMA22353	sartorius
FMA22428	quadriceps femoris
FMA22430	rectus femoris
FMA22431	vastus lateralis
FMA22433	vastus intermedius
FMA22432	vastus medialis
FMA22440	pectineus
FMA22441	adductor longus
FMA22442	adductor brevis
FMA22443	adductor magnus
FMA43885	adductor minimus
FMA43882	gracilis
FMA22299	obturator externus
FMA22356	biceps femoris
FMA45887	long head of biceps femoris
FMA45890	short head of biceps femoris
FMA22357	semitendinosus
FMA22438	semimembranosus
FMA22532	tibialis anterior
FMA22534	extensor digitorum longus
FMA22538	fibularis tertius
FMA22533	extensor hallucis longus
FMA22539	fibularis longus
FMA22540	fibularis brevis
FMA51062	triceps surae
FMA22541	gastrocnemius
FMA45959	lateral head of gastrocnemius
FMA45956	medial head of gastrocnemius
FMA22542	soleus
FMA51061	calcaneal tendon
FMA22543	plantaris
FMA22590	popliteus
FMA51099	tibialis posterior
FMA51071	flexor digitorum longus
FMA22593	flexor hallucis longus
FMA51141	extensor hallucis brevis
FMA51140	extensor digitorum brevis
FMA37448	abductor hallucis
FMA37449	flexor hallucis brevis
FMA45969	medial head of flexor hallucis brevis
FMA45970	lateral head of flexor hallucis brevis
FMA37454	adductor hallucis
FMA46014	oblique head of adductor hallucis
FMA46015	transverse head of adductor hallucis
FMA37451	abductor digiti minimi of foot
FMA86033	opponens digiti minimi of foot
FMA37455	flexor digiti minimi brevis of foot
FMA37450	flexor digitorum brevis
FMA37452	flexor accessorius
FMA71321	set of lumbricals of foot
FMA71322	set of dorsal interossei of foot
FMA71323	set of plantar interossei of foot
FMA13902	fascia lata
FMA51048	iliotibial tract
FMA7152	alimentary system
FMA59660	mucosa of mouth
FMA59815	labial part of mouth
FMA55634	maxillary dental arcade
FMA55635	mandibular dental arcade
FMA12823	incisor tooth
FMA55636	canine tooth
FMA55637	premolar tooth
FMA55638	molar tooth
FMA55623	crown of tooth
FMA7131	esophagus
FMA7148	stomach
FMA7200	small intestine
FMA7206	duodenum
FMA7207	jejunum
FMA7208	ileum
FMA7201	large intestine
FMA14542	appendix
FMA14543	colon
FMA14986	muscle layer of colon
FMA14987	longitudinal muscle layer of colon
FMA76891	mesocolic taenia
FMA76892	omental taenia
FMA76893	free taenia
FMA14544	rectum
FMA7197	liver
FMA7202	gallbladder
FMA7198	pancreas
FMA10419	pancreatic duct
FMA7158	respiratory system
FMA59516	root of nose
FMA71704	set of nasal cartilages
FMA54375	nasal septum
FMA59837	bony part of nasal septum
FMA55099	thyroid cartilage
FMA7394	trachea
FMA7195	lung
FMA7309	right lung
FMA7310	left lung
FMA7334	upper lobe of lung
FMA7383	middle lobe of lung
FMA7335	lower lobe of lung
FMA7333	upper lobe of right lung
FMA7337	lower lobe of right lung
FMA7370	upper lobe of left lung
FMA7371	lower lobe of left lung
FMA9826	mediastinum
FMA9827	superior mediastinum
FMA9828	inferior mediastinum
FMA9838	anterior mediastinum
FMA9839	middle mediastinum
FMA7159	urinary system
FMA7203	kidney
FMA9704	ureter
FMA15900	urinary bladder
FMA7160	genital system
FMA45664	male genital system
FMA45655	male internal genitalia
FMA7210	testis
FMA18255	epididymis
FMA19234	deferent duct
FMA19386	seminal vesicle
FMA9600	prostate
FMA45642	male external genitalia
FMA9707	penis
FMA18249	body of penis
FMA18247	glans penis
FMA19618	corpus cavernosum of penis
FMA19617	corpus spongiosum of penis
FMA18252	scrotum
FMA77304	muscle of anal triangle
FMA9668	endocrine system
FMA13889	pituitary gland
FMA62033	pineal body
FMA9604	adrenal gland
FMA7161	cardiovascular system
FMA50720	artery
FMA67611	anatomical valve
FMA50723	vein
FMA7088	heart
FMA223286	basal zone of heart
FMA7098	right ventricle
FMA7101	left ventricle
FMA7133	interventricular septum
FMA7134	muscular part of interventricular septum
FMA7096	right atrium
FMA7097	left atrium
FMA7234	tricuspid valve
FMA7216	outflow part of right ventricle
FMA7246	pulmonary valve
FMA7260	anterior papillary muscle of right ventricle
FMA7261	posterior papillary muscle of right ventricle
FMA7262	septal papillary muscle of right ventricle
FMA7235	mitral valve
FMA7266	posterior papillary muscle of left ventricle
FMA9462	myocardium
FMA63812	set of arteries
FMA3734	aorta
FMA3736	ascending aorta
FMA50039	right coronary artery
FMA3818	marginal branch of right coronary artery
FMA3840	posterior interventricular branch of right coronary artery
FMA71669	set of interventricular septal branches of right coronary artery
FMA76994	right posterolateral branch of right coronary artery
FMA50040	left coronary artery
FMA3862	anterior interventricular branch of left coronary artery
FMA71670	set of interventricular septal branches of left coronary artery
FMA3895	circumflex branch of left coronary artery
FMA3768	arch of aorta
FMA3932	brachiocephalic artery
FMA3939	common carotid artery
FMA3951	subclavian artery
FMA3784	descending aorta
FMA3786	thoracic aorta
FMA14768	left gastric artery
FMA14771	common hepatic artery
FMA14773	splenic artery
FMA14749	superior mesenteric artery
FMA14750	inferior mesenteric artery
FMA14751	renal artery
FMA14764	common iliac artery
FMA18808	internal iliac artery
FMA18805	external iliac artery
FMA63814	set of veins
FMA4706	coronary sinus
FMA4707	great cardiac vein
FMA76751	set of posterior veins of left ventricle
FMA4713	middle cardiac vein
FMA4714	small cardiac vein
FMA71567	set of anterior cardiac veins
FMA4720	superior vena cava
FMA4723	brachiocephalic vein
FMA4724	internal jugular vein
FMA4725	subclavian vein
FMA10951	inferior vena cava
FMA14333	common iliac vein
FMA18884	internal iliac vein
FMA18883	external iliac vein
FMA14332	superior mesenteric vein
